Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
Gotowe do zamieszkania, miejsce za szlabanem|749 000 zł||65,64 m²||1/3|3||||||Tak||Wtórny||||Blok Mieszkalny||2009||Co Miejskie|04.04.2024|04.04.2024|morizon-PH573227|11|0|||2|||||||||||
3 pokoje po remoncie blisko morza|769 000 zł|WYSOKI STANDARD|54 m²||3/4|4||ODDZIELNA||||Tak||Wtórny||SPÓŁDZIELCZE WŁASNOŚCIOWE||NISKI BLOK|WIELKA PŁYTA|1970||C.O. Z SIECI MIEJSKIEJ|29.03.2024|08.04.2024|morizon-16704/5571/OMS|84|0||||||||||||||
Inwestycyjnie- 4pok. z balkonem i widokiem na park|775 000 zł||50,70 m²||1/10|10||||||Tak||Wtórny|2024-03-31||Na wyłączność|Wieżowiec||1989||Co Miejskie|02.04.2024|02.04.2024|morizon-DH902726|60|0||||||||||||||
Opis nieruchomości|552 900 zł||34,62 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.2|106|196|Apartamenty Diuna|||7,92 m²|84,77 m²|||||||||
4-pokojowe mieszkanie z pięknym widokiem|800 000 zł|Do odnowienia|68,80 m²||16/17|17||Kuchnia zamykana z oknem||||Tak||Wtórny||Spółdzielcza własnościowa bez KW|Na wyłączność|Blok mieszkalny|Wielka płyta|1980||Ogrzewanie miejskie|05.04.2024|10.04.2024|morizon-ZIGE443|36|0||||||||||||||
2 pokoje + kawalerka, DWUPAK w sercu Wrzeszcza|849 000 zł||66,10 m²||2/2|2||||||||Wtórny|||Na wyłączność|Kamienica||1900||Co Miejskie|26.03.2024|27.03.2024|morizon-TY846468|205|0||||||||||||||
"Nowe i Gotowe do zamieszkania | 3 pok. | Wysoki Standard | Gdańsk Kokoszki"|855 000 zł|Wysoki standard|57,26 m²||2/4|4||Aneks|||Nie|||Wtórny|2024-04-04|Własność||Blok||2023|||04.04.2024|04.04.2024|morizon-gratka-34174417|7|0||||||||||||||
Blisko centrum-z ogródkiem-spokojna okolica|888 444 zł||68,79 m²|||3||||||||Wtórny||||Blok Mieszkalny||2020||Co Miejskie|05.04.2024|05.04.2024|morizon-CP925020|19|0|||2|||||||||||
"Gotowe 2 pokoje obok Copernicus| GUMed | PG"|899 000 zł||47,39 m²||2/7|7||||||Tak||Wtórny|2023-09-05||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|2022||Co Miejskie|10.04.2024|10.04.2024|morizon-TC110277|1|0|||1|||||||||||
4 pokoje w najwyższym standardzie! Cicha okolica|899 000 zł||82,83 m²||3/3|3||||||Tak||Wtórny||||Apartamentowiec||2022||Co Miejskie|05.04.2024|05.04.2024|morizon-PH968029|18|0||||||||||||||
"Powiew luksusu nad morzem | Letnica"|999 000 zł||50,50 m²||4/5|5||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|2023||Co Miejskie|22.03.2024|02.04.2024|morizon-ON983818|54|0||||||||||||||
4 POKOJE DO WPROWADZENIA, 2 MIEJSCA POSTOJOWE|1 100 000 zł||96,40 m²||7/8|8|1|||||Tak||Wtórny|2024-04-08|||Blok Mieszkalny|Inne||||08.04.2024|08.04.2024|morizon-957521|30|0|||3|||||||||||
D U Ż E - Klimatyzowe i 2 P O Z I O M O W E|1 250 000 zł||132,50 m²|76,30 m²|5/5|5||||||Tak|Tak|Wtórny|||Na wyłączność|||2009|||05.04.2024|05.04.2024|morizon-427624|31|0|||3|||||||||||
PREMIUM /3 POKOJE DUŻY OGRÓD/ OLIWA|1 282 532 zł|Deweloperski|64,27 m²|||3|||||||Tak|Pierwotny||||Apartamentowiec||2024|||11.03.2024|11.03.2024|morizon-BHN-MS-4127|46|0|||1||||PCV 3 szyby, ciepły montaż|||||||
"4 p. | przy Motławie! | Dla Konesera lub Inwestora"|1 310 000 zł||87,70 m²||2/3|3||||||||Wtórny||||Kamienica|Cegła|1900||Co Miejskie|05.04.2024|06.04.2024|morizon-TH220935|19|0||||||||||||||
Jednopoziomowe 108mkw, 2x balkony, 2x miejsca parkingowe, kominek|1 500 000 zł||108 m²||2/3|3||Aneks|||Nie|Tak||Wtórny||Własność||Blok||2007|||28.03.2024|28.03.2024|morizon-gratka-34029907|125|0||||||||||||||
GOTOWY Apartament premium 3 pok. z ogródkiem|1 626 170 zł||80,34 m²|||3||||||Nie|Tak|Pierwotny|2024-01-29|||Apartamentowiec||2023||Co Miejskie|26.03.2024|26.03.2024|morizon-DH808180|45|0|||2|||||||||||
Klimatyczne mieszkanie z WIDOKIEM na morze|1 799 000 zł||79 m²||13/16|16||||||||Wtórny||||Apartamentowiec||2011||Co Miejskie|08.04.2024|08.04.2024|morizon-WE427848|22|0||||||||||||||
Słoneczne mieszkanie z ogródkiem w Gdańsk Oliwa|1 800 000 zł|WYSOKI STANDARD|60 m²|||5|1|ANEKS KUCHENNY|1||Tak||Tak|Wtórny||WŁASNOŚĆ|Na wyłączność|Apartamentowiec|Cegła||Bardzo dobry||28.03.2024|30.03.2024|morizon-109/14376/OMS|35|0||||||||||||||
Apartament w Oliwie z ogrodem ok 200 m2|1 800 000 zł|Bardzo dobry|66,80 m²|||2||Aneks kuchenny - połączony z salonem|1||Tak||Tak|Wtórny||||Villa||2006|||18.03.2024|18.03.2024|morizon-BHN-MS-4137-1|72|0|||2||||||700|||||
2 pokoje/ Apartament/ Przymorze/ blisko plaży|2 150 000 zł||83 m²||1/4|4||||||Tak||Wtórny|2024-03-11|||Apartamentowiec||2014||Co Miejskie|11.03.2024|11.03.2024|morizon-657457|70|0|||1|||||||||||
Mieszkanie przy Garnizonie w stanie deweloperskim|2 895 000 zł||201,73 m²|||2|||||||Tak|Wtórny|||Na wyłączność|Szeregowy|||||25.03.2024|25.03.2024|morizon-510164|100|0||||||||||||||
od południa z ogrodem ponad 30m2 - Cichy Zakątek|399 315 zł||38,03 m²|||4|1|||||||Pierwotny|2025-03-30|||Blok Mieszkalny|Silikat|2024||Co Miejskie|06.04.2024|06.04.2024|morizon-HEX458083|40|0||||||||||||||
Z widokiem na Westerplatte / Słoneczne|470 000 zł|DO REMONTU|50 m²||2/3|3||ODDZIELNA||||Tak||Wtórny|2024-04-01|SPÓŁDZIELCZE WŁASNOŚCIOWE||NISKI BLOK|CEGŁA|1960||C.O. Z SIECI MIEJSKIEJ|30.03.2024|03.04.2024|morizon-12311/8653/OMS|121|0||||||260 cm||||||||
Spółdzielcze z KW-gotowe do wydania-blisko Centrum|509 000 zł||41,10 m²||3/10|10||||||||Wtórny||||Blok Mieszkalny||1985||Co Miejskie|08.04.2024|08.04.2024|morizon-CP266363|41|0||||||||||||||
2 niezależne pokoje blisko SKM Żabianka i AWFiS|579 000 zł|Dobry|40,40 m²|38 m²|1/10|10||Osobna|1||Tak|Tak||Wtórny|2024-05-31|Własność|Na wyłączność|Blok||1970|Dobry|Miejskie|04.04.2024|05.04.2024|morizon-Ecn192875|59|0||||||||1 m²||||||
"GOTOWA DO WYNAJMU | blisko plaży"|580 000 zł||30,16 m²||7/12|12||||||Tak||Wtórny|2023-09-27|||Apartamentowiec|YTong|2021||Co Miejskie|10.04.2024|09.04.2024|morizon-823852817|1|0|||1|||||||||||
Opis nieruchomości|597 850 zł||54,35 m²||1/5|5||||||Tak||Wtórny||||Blok Mieszkalny|YTong|2024||Co Miejskie|19.03.2024|27.03.2024|morizon-PH505689|48|0||||||||||||||
Opis nieruchomości|603 570 zł||54,87 m²||1/5|5||||||Tak||Wtórny||||Blok Mieszkalny|YTong|2023||Co Miejskie|19.03.2024|27.03.2024|morizon-PH626219|36|0||||||||||||||
Przestronne 2 pokoje w sercu Przymorza 49,5m2|620 000 zł||49,50 m²||2/3|3|1|||||Tak||Wtórny|||Na wyłączność|Kamienica||1958||Co Miejskie|29.03.2024|09.04.2024|morizon-TY309278|105|0|||1|||||||||||
Po remoncie, blisko Starego Miasta|645 000 zł||37 m²||1/4|4||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Cegła|1960||Co Miejskie|27.03.2024|04.04.2024|morizon-PAN207457|51|0||||||||||||||
Słoneczne 3 pokojowe mieszkanie- Jasień|685 000 zł||57,25 m²|||3||||||||Wtórny|||Na wyłączność|Blok Mieszkalny||2020||Co Miejskie|01.03.2024|06.03.2024|morizon-TY773662|162|0||||||||||||||
"Mieszkanie z idealną ekspozycją | Gdańsk Morena"|695 000 zł||59,10 m²||8/9|9|1|||||Tak||Wtórny|2024-04-05|||Blok Mieszkalny||1980|||05.04.2024|10.04.2024|morizon-R-528867|40|0||||||||||||||
"WYSOKI STANDARD WYKOŃCZENIA| FUNKCJONALNE WNĘTRZE|"|730 000 zł||59,55 m²||1/3|3||||||||Wtórny|2024-06-30||Na wyłączność|Kamienica||1939||Gazowe|27.03.2024|02.04.2024|morizon-TY944824|62|0|||1|||||||||||
Atrakcyjna cena, tylko 150 merów do morza|740 000 zł|DO REMONTU|52,97 m²||3/4|4||ODDZIELNA|1|||Tak||Wtórny|2024-04-09|WŁASNOŚĆ||NISKI BLOK|WIELKA PŁYTA|1975||C.O. Z SIECI MIEJSKIEJ|09.04.2024|09.04.2024|morizon-29260/3685/OMS|18|0||||||255 cm||||||||
Apartament inwestycyjny Gdańsk Przymorze|770 000 zł||41,76 m²||5/5|5||||||||Wtórny|||Na wyłączność|Apartamentowiec||2022||Co Miejskie|20.03.2024|21.03.2024|morizon-TY296243|108|0||||||||||||||
Opis nieruchomości|803 017 zł||36,27 m²|||3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH866472|16|0||||||||||||||
Mieszkanie 3 pok. - Gdańsk Jasień|850 000 zł||68,71 m²||2/3|3||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|2012||Co Miejskie|29.03.2024|02.04.2024|morizon-PAN851974|41|0||||||||||||||
Kameralne mieszkanie z ogrodem 5 minut do Centrum|920 000 zł||53,28 m²|||4||||||Nie|Tak|Wtórny||||Apartamentowiec|Pustak|2014||Co Miejskie|27.03.2024|08.04.2024|morizon-PAN410430|76|0|||1|||||||||||
Opis nieruchomości|639 900 zł||44,23 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.9|70|182|Apartamenty Diuna|||7,92 m²|63 m²|||||||||
Klimatyczne mieszkanie-2 poziomy, 5 pokoi, 4 łazienki!SUPER Gotowiec inwestycyjn|980 000 zł|Do odświeżenia|130 m²||4/4|4|2|Osobna|4||Nie|Tak||Wtórny||Spółdzielcze-własnościowe z KW|Na wyłączność|Blok||1995|Bardzo dobry|Miejskie|21.03.2024|26.03.2024|morizon-593-4|69|0||||||||8 m²||Tak||||
Kup wyjątkowe mieszkanie blisko morza i parku|1 069 900 zł||54 m²||1/4|4||||||Tak|Tak|Wtórny||||Apartamentowiec||||Co Miejskie|30.03.2024|03.04.2024|morizon-583377|134|0||||||||||||||
2 pokoje na Garnizonie! Wysoki standard|1 099 000 zł||47,54 m²||4/5|5||||||Tak||Wtórny||||Apartamentowiec||2014||Co Miejskie|09.04.2024|09.04.2024|morizon-PH703287|19|0|||1|||||||||||
Opis nieruchomości|1 270 015 zł||50,04 m²|||3||||||Tak||Wtórny||||Apartamentowiec|Pustak|2024||Co Miejskie|08.04.2024|08.04.2024|morizon-PH596656|20|0||||||||||||||
Wygodny Apartament - Butikowa Inwestycja|1 271 668 zł||68,04 m²||2/5|5||||||Tak||Pierwotny||||Apartamentowiec||2024|||01.04.2024|09.04.2024|morizon-EC999011|22|0|||3|||||||||||
Przestronne mieszkanie w samym centrum Gdańska|1 290 000 zł|WYSOKI STANDARD|109 m²||2/3|3||ODDZIELNA|1|||||Wtórny|2024-04-10|||KAMIENICA|CEGŁA|1930||C.O. GAZOWE|10.04.2024|10.04.2024|morizon-65/10940/OMS|7|0||||||||||||||
3 pokoje z widokiem na Zatokę|1 290 000 zł||67 m²||7/14|14||||||||Wtórny||||Wieżowiec||2010||Co Miejskie|05.04.2024|04.04.2024|morizon-969926|16|0||||||||||||||
Widok na Motławę, 2 pokoje 56m2|1 400 000 zł||56 m²||1/4|4||||||Tak||Wtórny|2024-03-28|||Apartamentowiec||2011||Co Miejskie|28.03.2024|29.03.2024|morizon-DH610248|70|0||||||||||||||
Apartament Najwyższy Standard, Oliwa|1 441 632 zł||72,32 m²||1/3|3||||||Tak||Pierwotny||||Apartamentowiec||2023||Co Miejskie|20.03.2024|20.03.2024|morizon-476812|40|0|||2|||||||||||
Apartament - Porto - Plaża 1000m, Parking x2|1 525 000 zł||92 m²||1/5|5||||||Tak||Wtórny|2023-05-17||Na wyłączność|Apartamentowiec|Pustak|2022||Co Miejskie|05.04.2024|09.04.2024|morizon-674235|19|0||||||||||||||
"Apartament PREMIUM | 4 pokoje | 2 balkony | Garaż"|1 599 999 zł|Do wykończenia|81,24 m²||2/3|3|1|Osobna|2||Nie|Tak||Pierwotny|2024-07-15|Własność|Na wyłączność|Apartamentowiec|Zróżnicowany|2024|Bardzo dobry|Miejskie|14.03.2024|14.03.2024|morizon-184|103|0||||||280 cm||||||||
Penthouse z widokiem na morze|1 930 898 zł||80,97 m²||12/12|12||||||Tak|Tak|Wtórny||||Apartamentowiec||||Co Miejskie|02.04.2024|02.04.2024|morizon-452094|60|0||||||||||||||
Apartament Gdańsk Wrzeszcz Kołłątaja|2 200 000 zł|WYSOKI STANDARD|119,70 m²||4/4|4||Z OKNEM|2|||Tak||Wtórny|2024-03-27|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|MIESZANY|2011||C.O. Z SIECI MIEJSKIEJ|28.03.2024|09.04.2024|morizon-29307/3685/OMS|41|0||||||250 cm||||||||
Jelitkowo z widokiem na Park Reagana|2 910 000 zł||75,50 m²|78,80 m²|2/3|3|1|||||Tak||Wtórny||||Apartamentowiec|Cegła|2010||Co Własne|05.04.2024|09.04.2024|morizon-WH377812|45|0||||||||||||||
Funkcjonalne mieszkanie w świetnej lokalizacji|399 000 zł||30,94 m²||9/10|10||||||||Wtórny|2024-04-08|||Blok Mieszkalny||1977|||08.04.2024|08.04.2024|morizon-R-542590|38|0||||||||||||||
kawalerka blisko UG i OBC|478 000 zł||32,60 m²||1/10|10||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny||1982||Co Miejskie|18.03.2024|18.03.2024|morizon-TY548359|93|0||||||||||||||
2 pokojowe mieszkanie w Oliwie|529 000 zł||44,10 m²||4/4|4||Osobna|1|||Tak|Nie|Wtórny||Własność||||1970|Do odświeżenia|C.o. miejskie|05.04.2024|05.04.2024|morizon-WV032538|118|0||||||||5 m²||||||
"Centrum | Do remontu | Z potencjałem"|540 000 zł|DO REMONTU|38 m²||2/3|3||OTWARTA||||||Wtórny|2024-03-14|WŁASNOŚĆ|Na wyłączność|KAMIENICA|CEGŁA|1920||PIEC|07.03.2024|07.03.2024|morizon-12292/8653/OMS|135|0||||||300 cm||||||||
Dwupokojowe mieszkanie w centrum Gdańska|544 000 zł|Normalny|37,10 m²||2/4|4||Kuchnia otwarta z oknem||||||Wtórny||Własność|Na wyłączność|Blok mieszkalny|Mieszana|1962||Ogrzewanie miejskie|31.03.2024|10.04.2024|morizon-LOKU210|76|0||||||250 cm||||||||
Ostatnie mieszkania PO RABACIE 553.957zł|553 957 zł||31,04 m²||4/6|6||||||Tak||Pierwotny||||Blok Mieszkalny||2024|||08.03.2024|08.03.2024|morizon-596027|61|0|||1|||||||||||
Dwu poziomowe mieszkanie - Cichy Zakątek|555 940 zł||58,52 m²||3/4|4|2|||||||Pierwotny|2025-03-30|||Blok Mieszkalny|Silikat|2024||Co Miejskie|06.04.2024|06.04.2024|morizon-HEX257084|38|0||||||||||||||
Pokój hotelowy w GRANO,4*HOTEL NA WYSPIE SPICHRZÓW|620 000 zł||27,31 m²||1/6|6||||||||Wtórny||||Apartamentowiec||2019||Co Miejskie|22.03.2024|25.03.2024|morizon-TY552634|75|0||||||||||||||
Po Kapitalnym Remoncie Blisko Morza|639 000 zł||46 m²||5/10|10||||||Tak||Wtórny|||Na wyłączność|Falowiec|Wielka płyta|1971||Co Miejskie|26.03.2024|10.04.2024|morizon-DH730685|83|0||||||||||||||
"Gdańsk 2-pok | 5min od Motławy | Bez podatku PCC"|645 000 zł|WYSOKI STANDARD|37 m²||1/4|4||ANEKS KUCHENNY|1|||||Wtórny|2024-04-03|SPÓŁDZIELCZE WŁASNOŚCIOWE||BLOK|CEGŁA|1960||C.O. Z SIECI MIEJSKIEJ|04.04.2024|04.04.2024|morizon-25436/7649/OMS|21|0||||||260 cm||||||||
"3 pokoje | gotowe do zamieszkania | winda i hala"|649 000 zł||60 m²||2/3|3||||||Tak||Wtórny|2024-05-01||Na wyłączność|Blok Mieszkalny|Silikat|2011||Co Miejskie|27.03.2024|08.04.2024|morizon-998572|45|0|||2|||||||||||
3 pokoje z balkonem i piwnicą tuż przy lesie|699 000 zł||54,60 m²||2/3|3|1|||||Tak|Nie|Wtórny||||Blok Mieszkalny|Pustak|1990||Co Własne|28.03.2024|02.04.2024|morizon-PAN166914|52|0||||||||||||||
Idealne 2 POKOJE mieszkanie na PRZYMORZU|720 000 zł||50 m²||3/4|4|1|||||Tak||Wtórny||||Blok Mieszkalny|Inne|1970||Co Miejskie|09.04.2024|10.04.2024|morizon-PH539985|25|0||||||||||||||
Komfortowe 4 pokoje w ładnym otoczeniu|849 000 zł||79,30 m²|||2||||||Tak|Tak|Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|1998||Co Własne|29.03.2024|05.04.2024|morizon-144257|61|0||||||||||||||
2 pokoje na Garnizonie|899 000 zł||41,78 m²||1/5|5||||||Tak||Wtórny||||Apartamentowiec||2017||Co Miejskie|30.03.2024|07.04.2024|morizon-PH898649|44|0||||||||||||||
Inwestycja w sercu Wrzeszcza, 4 osobne pokoje|919 000 zł||74 m²||1/3|3||||||Tak||Wtórny|2024-03-25||Na wyłączność|Kamienica|Cegła|1920||Co Miejskie|28.03.2024|05.04.2024|morizon-ON508812|92|0|||4|||||||||||
Opis nieruchomości|1 080 000 zł||57,80 m²||3/7|7||||||||Wtórny||||Apartamentowiec||2015||Co Miejskie|29.03.2024|06.04.2024|morizon-WE556665|59|0|||1|||||||||||
"3 pok. | możliwość 4 pok. | widok na Motławę"|1 150 000 zł||68 m²||2/5|5|1|||||Tak||Wtórny|||Na wyłączność|Apartamentowiec|Cegła|2011||Co Miejskie|02.04.2024|02.04.2024|morizon-WH354991|46|0|||2|||||||||||
Apartament na parterze, niedaleko morza w Brzeźnie|1 180 000 zł||52 m²|||4||||||Nie|Tak|Wtórny||||Blok Mieszkalny|YTong|2019||Co Miejskie|25.03.2024|09.04.2024|morizon-PAN283418|60|0||||||||||||||
Komfortowy apartament - Zamieszkaj lub zainwestuj|1 207 605 zł||65,72 m²||1/5|5||||||Tak||Pierwotny||||Apartamentowiec||2024|||01.04.2024|09.04.2024|morizon-EC760521|22|0|||2|||||||||||
Rzadko spotykana i wyjątkowa oferta w Gdańsku|1 550 000 zł||99,50 m²|||1|||||||Tak|Wtórny|||Na wyłączność|Wolnostojący||1927||Co Własne|26.02.2024|11.03.2024|morizon-TY524376|99|0||||||||||||||
Opis nieruchomości|552 900 zł||34,62 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.2|106|196|Apartamenty Diuna|||7,92 m²|84,77 m²|||||||||
Gotowa Kameralna Inwestycja, Wyspa Sobieszewska|449 000 zł||35,78 m²||1/2|2||||||Tak||Pierwotny||||Apartamentowiec||2023||Gazowe|20.03.2024|20.03.2024|morizon-967028|107|0|||1|||||||||||
"Kawalerka GOTOWA DO WYNAJMU | 3 minuty od autobusu"|459 999 zł||33 m²||1/3|3||||||Tak||Wtórny|2023-12-12|||Blok Mieszkalny||2009||Co Miejskie|10.04.2024|09.04.2024|morizon-388504798|1|0|||1|||||||||||
Wyposażone, z dużym salonem|525 000 zł||48 m²||2/3|3|1|||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny||2018||Co Miejskie|28.03.2024|28.03.2024|morizon-201432|78|0|||1|||||||||||
Fitness/Lobby - 10 min do plaży - Słoneczne|535 000 zł||31,10 m²|||5||||||||Pierwotny|2023-12-22||Na wyłączność|Apartamentowiec|Pustak|2023||Co Miejskie|06.04.2024|09.04.2024|morizon-152283|18|0||||||||||||||
3 pok. mieszkanie 54m2, Piotrkowska, Ujeścisko|540 000 zł|Do odświeżenia|54,30 m²||2/4|4||Oddzielna|1||Nie|Tak||Wtórny||SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW|Na wyłączność|Blok|Mieszana|1995||Miejskie|10.04.2024|10.04.2024|morizon-YNK-MS-2303|1|0|||||||PCV|||||||
2 pok, balkon, spokojna okolica, szybkie wydanie|599 000 zł||42,90 m²||2/4|4|1|||||Tak||Wtórny|2024-03-15||Na wyłączność|Blok Mieszkalny||2023||Co Miejskie|15.03.2024|26.03.2024|morizon-MG462113|186|0|||1|||||||||||
Widne / Nowoczesne / Duży balkon|599 000 zł|WYSOKI STANDARD|50 m²||2/3|3||OTWARTA||||Tak||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK||2016||C.O. Z SIECI MIEJSKIEJ|11.03.2024|27.03.2024|morizon-9186/8976/OMS|129|0||||||254 cm||||||||
Funkcjonalne 3 pokoje-do aranżacji|649 000 zł||61,78 m²||1/4|4||||||||Wtórny||||Blok Mieszkalny||2023||Co Miejskie|02.02.2024|05.02.2024|morizon-TY107238|297|0||||||||||||||
świetna lokalizacja, spółdzielcze z KW, dobra cena|659 000 zł||62,90 m²||2/4|4||||||Tak||Wtórny||||Blok Mieszkalny||1984||Co Miejskie|18.03.2024|30.03.2024|morizon-CP156872|97|0|||2|||||||||||
Parter po remoncie generalnym|664 900 zł||42,20 m²|||4|1|||||||Wtórny|||Na wyłączność|Blok Mieszkalny||1979||Co Miejskie|10.04.2024|10.04.2024|morizon-MG877533|1|0|||1|||||||||||
3 pokoje zrobione z 2, blisko tramwaj - cisza i spokój, centrum w 10 minut|672 000 zł|Bardzo dobry|56 m²||1/2|2|1|Osobna|1|4 m²|Tak|Tak|Nie|Wtórny|2024-03-29|Własność|Na wyłączność|Blok|Cegła|1960|Bardzo dobry|Gazowe|29.03.2024|04.04.2024|morizon-2024/GD/KK/13|94|0||||||||2 m²||Tak||||
3 pokoje Piecki-Migowo + miejsce postojowe|799 000 zł|WYSOKI STANDARD|57 m²||1/3|3||||||Tak||Wtórny|2024-04-10|WŁASNOŚĆ||MIESZKALNO-BIUROWY||2012||C.O. Z SIECI MIEJSKIEJ|09.04.2024|09.04.2024|morizon-29700/3685/OMS|14|0||||||||||||||
Ustawne 4 pokoje do remontu Gdańsk Żabianka|827 000 zł||68,30 m²||7/10|10|1|||||||Wtórny||||Wieżowiec|Wielka płyta|1975||Co Miejskie|27.03.2024|04.04.2024|morizon-TC422957|183|0|||4|||||||||||
W pełni wyposażone z miejscem w hali i ogródkiem|888 444 zł||68,79 m²|||3||||||||Wtórny||||Blok Mieszkalny||2020||Co Miejskie|06.04.2024|06.04.2024|morizon-BU749652|25|0|||2|||||||||||
Przestronne wnętrze-Osiedle Miłe-wysoki standard|890 000 zł||69 m²||1/3|3||||||Tak||Wtórny||||Blok Mieszkalny||2010||Co Miejskie|13.03.2024|13.03.2024|morizon-CP914512|64|0|||2|||||||||||
Dwupoziomowe mieszkanie w pięknej okolicy|995 000 zł|Bardzo dobry|137 m²|113 m²|1/2|2|2|Aneks|2|8 m²|Tak|Tak|Tak|Wtórny|2024-04-10|Własność|Na wyłączność|Apartamentowiec|Bloczki|2013|Bardzo dobry|Miejskie|09.04.2024|09.04.2024|morizon-233|16|0||||||||||||||
3 pokoje, wysoki standard, blisko morze, hala|999 000 zł||66,45 m²||3/5|5||||||Tak||Wtórny|2024-05-31||Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|2020||Co Miejskie|20.03.2024|03.04.2024|morizon-HEX814442|66|0|||2|||||||||||
Apartament w inwestycji z basenem|1 045 000 zł||48,45 m²||7/8|8||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec||2018||Co Miejskie|19.03.2024|20.03.2024|morizon-DH947856|68|0|||1|||||||||||
Ostatnie piętro! Taras widokowy na dachu|1 050 000 zł||84 m²||3/3|3||||||Tak||Wtórny|2024-03-01|||Blok Mieszkalny||2022||Co Miejskie|27.02.2024|28.02.2024|morizon-431669|115|0|||3|||||||||||
"ELEGANCKI APARTAMENT | 10 MIN DO MORZA"|1 064 000 zł||65 m²||1/5|5||ANEKS KUCHENNY|1|||Tak||Wtórny||WŁASNOŚĆ||NISKI BLOK||2023||C.O. Z SIECI MIEJSKIEJ|02.04.2024|02.04.2024|morizon-9447/8976/OMS|19|0||||||||||||||
Apartament z ogrodem na Gdańskiej Oliwie|1 175 000 zł||56 m²|||3||||||||Wtórny||||Apartamentowiec||2011||Co Miejskie|05.03.2024|06.03.2024|morizon-799296|150|0||||||||||||||
Ekskluzywne mieszkanie w Inwestycji Brabank|1 550 000 zł|BARDZO WYSOKI STANDARD|50 m²||5/6|6||ANEKS KUCHENNY|1|||||Wtórny||||APARTAMENTOWIEC|BETON|2023||C.O. Z SIECI MIEJSKIEJ|11.03.2024|27.03.2024|morizon-100/14376/OMS|107|0||||||290 cm||||||||
Ekskluzywne mieszkanie w Inwestycji Brabank|1 995 000 zł|DO WYKOŃCZENIA|71 m²||5/6|6||ANEKS KUCHENNY|1|||||Wtórny||||APARTAMENTOWIEC|BETON|2023||C.O. Z SIECI MIEJSKIEJ|11.03.2024|27.03.2024|morizon-98/14376/OMS|82|0||||||290 cm||||||||
Ekskluzywne mieszkanie w Inwestycji Brabank|2 095 000 zł|BARDZO WYSOKI STANDARD|68 m²||5/6|6||ANEKS KUCHENNY|1|||||Wtórny||||APARTAMENTOWIEC|BETON|2023||C.O. Z SIECI MIEJSKIEJ|11.03.2024|27.03.2024|morizon-102/14376/OMS|131|0||||||290 cm||||||||
Mieszkanie 2 osobne pok, słoneczne, Gdańsk Orunia|299 000 zł||47,70 m²||1/2|2|1|||||||Wtórny|2024-05-07||Na wyłączność|Kamienica|Cegła|1910||Gazowe|04.04.2024|05.04.2024|morizon-MG139943|260|0|||2|||||||||||
2 pokoje + ogródek + miejsce post. + komórka loka|389 000 zł||35 m²|||3|||||||Tak|Wtórny|2024-03-04||Na wyłączność|Blok Mieszkalny|Pustak|2023||Co Miejskie|05.04.2024|05.04.2024|morizon-HEX997851|57|0||||||||||||||
Opis nieruchomości|390 968 zł||40,62 m²||2/4|4||||||||Pierwotny||||||2025|||04.03.2024|05.04.2024|morizon-I33|88|0|Nowe Kowale Plus|||||||||||||
Opis nieruchomości|390 968 zł||40,62 m²||1/4|4||||||||Pierwotny||||||2025|||04.03.2024|05.04.2024|morizon-I20|59|0|Nowe Kowale Plus|||||||||||||
Opis nieruchomości|392 074 zł||40,42 m²|||4||||||||Pierwotny||||||2025|||04.03.2024|05.04.2024|morizon-I7|39|0|Nowe Kowale Plus|||||||||||||
